lat,long,dan,vi,travel_time_dan,travel_time_vi,distance_dan,distance_vi,mins_dan,mins_vi,location
51.4,-0.19743589743589743,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['17 Camrose Cl, Morden SM4 5DQ, UK'], 'rows': [{'elements': [{'distance': {'text': '24.0 km', 'value': 24015}, 'duration': {'text': '1 hour 3 mins', 'value': 3754}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['17 Camrose Cl, Morden SM4 5DQ, UK'], 'rows': [{'elements': [{'distance': {'text': '20.6 km', 'value': 20616}, 'duration': {'text': '50 mins', 'value': 2987}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 3 mins,50 mins,24.0 km,20.6 km,63,50,"17 Camrose Cl, Morden SM4 5DQ, UK"
51.4,-0.18717948717948718,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['96 A297, Morden SM4 5JG, UK'], 'rows': [{'elements': [{'distance': {'text': '23.7 km', 'value': 23654}, 'duration': {'text': '1 hour 7 mins', 'value': 4003}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['96 A297, Morden SM4 5JG, UK'], 'rows': [{'elements': [{'distance': {'text': '20.9 km', 'value': 20909}, 'duration': {'text': '53 mins', 'value': 3152}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 7 mins,53 mins,23.7 km,20.9 km,67,53,"96 A297, Morden SM4 5JG, UK"
51.4,-0.1769230769230769,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['Liongate Enterprise Park, 80 Morden Rd, Mitcham, Morden CR4 4NY, UK'], 'rows': [{'elements': [{'distance': {'text': '18.9 km', 'value': 18909}, 'duration': {'text': '1 hour 8 mins', 'value': 4065}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['Liongate Enterprise Park, 80 Morden Rd, Mitcham, Morden CR4 4NY, UK'], 'rows': [{'elements': [{'distance': {'text': '21.8 km', 'value': 21846}, 'duration': {'text': '1 hour 8 mins', 'value': 4063}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 8 mins,1 hour 8 mins,18.9 km,21.8 km,68,68,"Liongate Enterprise Park, 80 Morden Rd, Mitcham, Morden CR4 4NY, UK"
51.4,-0.16666666666666666,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['14 Cricket Green, Mitcham CR4 4LA, UK'], 'rows': [{'elements': [{'distance': {'text': '26.0 km', 'value': 25970}, 'duration': {'text': '1 hour 24 mins', 'value': 5056}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['14 Cricket Green, Mitcham CR4 4LA, UK'], 'rows': [{'elements': [{'distance': {'text': '23.0 km', 'value': 23013}, 'duration': {'text': '58 mins', 'value': 3507}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 24 mins,58 mins,26.0 km,23.0 km,84,58,"14 Cricket Green, Mitcham CR4 4LA, UK"
51.4,-0.1564102564102564,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['4 Cedars Ave, Mitcham CR4 1HB, UK'], 'rows': [{'elements': [{'distance': {'text': '17.6 km', 'value': 17553}, 'duration': {'text': '1 hour 7 mins', 'value': 3994}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['4 Cedars Ave, Mitcham CR4 1HB, UK'], 'rows': [{'elements': [{'distance': {'text': '24.4 km', 'value': 24416}, 'duration': {'text': '1 hour 4 mins', 'value': 3863}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 7 mins,1 hour 4 mins,17.6 km,24.4 km,67,64,"4 Cedars Ave, Mitcham CR4 1HB, UK"
51.4,-0.14615384615384613,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['11 Marlowe Square, Mitcham CR4 1DT, UK'], 'rows': [{'elements': [{'distance': {'text': '17.8 km', 'value': 17760}, 'duration': {'text': '1 hour 15 mins', 'value': 4477}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['11 Marlowe Square, Mitcham CR4 1DT, UK'], 'rows': [{'elements': [{'distance': {'text': '25.1 km', 'value': 25053}, 'duration': {'text': '1 hour 7 mins', 'value': 4015}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 15 mins,1 hour 7 mins,17.8 km,25.1 km,75,67,"11 Marlowe Square, Mitcham CR4 1DT, UK"
51.4,-0.1358974358974359,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['177 Sherwood Park Rd, Mitcham CR4 1NJ, UK'], 'rows': [{'elements': [{'distance': {'text': '17.6 km', 'value': 17638}, 'duration': {'text': '1 hour 16 mins', 'value': 4555}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['177 Sherwood Park Rd, Mitcham CR4 1NJ, UK'], 'rows': [{'elements': [{'distance': {'text': '21.7 km', 'value': 21722}, 'duration': {'text': '1 hour 11 mins', 'value': 4246}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 16 mins,1 hour 11 mins,17.6 km,21.7 km,76,71,"177 Sherwood Park Rd, Mitcham CR4 1NJ, UK"
51.4,-0.12564102564102564,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['113 Pollards Hill S, Pollards Hill, London SW16 4LS, UK'], 'rows': [{'elements': [{'distance': {'text': '22.1 km', 'value': 22121}, 'duration': {'text': '1 hour 19 mins', 'value': 4735}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['113 Pollards Hill S, Pollards Hill, London SW16 4LS, UK'], 'rows': [{'elements': [{'distance': {'text': '21.1 km', 'value': 21125}, 'duration': {'text': '1 hour 7 mins', 'value': 4034}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 19 mins,1 hour 7 mins,22.1 km,21.1 km,79,67,"113 Pollards Hill S, Pollards Hill, London SW16 4LS, UK"
51.4,-0.11538461538461536,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['30 Oaklands Ave, Thornton Heath CR7 7PH, UK'], 'rows': [{'elements': [{'distance': {'text': '22.0 km', 'value': 22010}, 'duration': {'text': '1 hour 14 mins', 'value': 4428}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['30 Oaklands Ave, Thornton Heath CR7 7PH, UK'], 'rows': [{'elements': [{'distance': {'text': '20.4 km', 'value': 20374}, 'duration': {'text': '59 mins', 'value': 3533}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 14 mins,59 mins,22.0 km,20.4 km,74,59,"30 Oaklands Ave, Thornton Heath CR7 7PH, UK"
51.4,-0.10512820512820512,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['31 Carew Rd, Thornton Heath CR7 7RF, UK'], 'rows': [{'elements': [{'distance': {'text': '18.8 km', 'value': 18798}, 'duration': {'text': '1 hour 2 mins', 'value': 3708}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['31 Carew Rd, Thornton Heath CR7 7RF, UK'], 'rows': [{'elements': [{'distance': {'text': '23.2 km', 'value': 23244}, 'duration': {'text': '1 hour 5 mins', 'value': 3872}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 2 mins,1 hour 5 mins,18.8 km,23.2 km,62,65,"31 Carew Rd, Thornton Heath CR7 7RF, UK"
51.4,-0.09487179487179487,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['52 Grange Park Rd, Thornton Heath CR7 8QA, UK'], 'rows': [{'elements': [{'distance': {'text': '18.7 km', 'value': 18662}, 'duration': {'text': '59 mins', 'value': 3568}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['52 Grange Park Rd, Thornton Heath CR7 8QA, UK'], 'rows': [{'elements': [{'distance': {'text': '26.5 km', 'value': 26532}, 'duration': {'text': '57 mins', 'value': 3432}, 'status': 'OK'}]}], 'status': 'OK'}",59 mins,57 mins,18.7 km,26.5 km,59,57,"52 Grange Park Rd, Thornton Heath CR7 8QA, UK"
51.4,-0.08461538461538459,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['Abbots Court, Claret Gardens, London SE25 6RR, UK'], 'rows': [{'elements': [{'distance': {'text': '27.8 km', 'value': 27817}, 'duration': {'text': '1 hour 14 mins', 'value': 4429}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['Abbots Court, Claret Gardens, London SE25 6RR, UK'], 'rows': [{'elements': [{'distance': {'text': '15.5 km', 'value': 15506}, 'duration': {'text': '45 mins', 'value': 2678}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 14 mins,45 mins,27.8 km,15.5 km,74,45,"Abbots Court, Claret Gardens, London SE25 6RR, UK"
51.4,-0.07435897435897434,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['28A High St, London SE25 6HA, UK'], 'rows': [{'elements': [{'distance': {'text': '26.6 km', 'value': 26582}, 'duration': {'text': '1 hour 1 min', 'value': 3645}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['28A High St, London SE25 6HA, UK'], 'rows': [{'elements': [{'distance': {'text': '15.0 km', 'value': 14968}, 'duration': {'text': '38 mins', 'value': 2309}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 1 min,38 mins,26.6 km,15.0 km,61,38,"28A High St, London SE25 6HA, UK"
51.4,-0.0641025641025641,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['28 Malden Ave, London SE25, UK'], 'rows': [{'elements': [{'distance': {'text': '21.5 km', 'value': 21454}, 'duration': {'text': '1 hour 12 mins', 'value': 4343}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['28 Malden Ave, London SE25, UK'], 'rows': [{'elements': [{'distance': {'text': '15.5 km', 'value': 15467}, 'duration': {'text': '46 mins', 'value': 2772}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 12 mins,46 mins,21.5 km,15.5 km,72,46,"28 Malden Ave, London SE25, UK"
51.4,-0.05384615384615382,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['241 Elmers End Rd, Beckenham BR3 4EJ, UK'], 'rows': [{'elements': [{'distance': {'text': '27.8 km', 'value': 27796}, 'duration': {'text': '1 hour 14 mins', 'value': 4454}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['241 Elmers End Rd, Beckenham BR3 4EJ, UK'], 'rows': [{'elements': [{'distance': {'text': '21.4 km', 'value': 21430}, 'duration': {'text': '51 mins', 'value': 3063}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 14 mins,51 mins,27.8 km,21.4 km,74,51,"241 Elmers End Rd, Beckenham BR3 4EJ, UK"
