lat,long,dan,vi,travel_time_dan,travel_time_vi,distance_dan,distance_vi,mins_dan,mins_vi,location
51.46206896551724,-0.2794871794871795,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['19 Berwyn Rd, Richmond TW10 5BP, UK'], 'rows': [{'elements': [{'distance': {'text': '8.9 km', 'value': 8900}, 'duration': {'text': '52 mins', 'value': 3148}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['19 Berwyn Rd, Richmond TW10 5BP, UK'], 'rows': [{'elements': [{'distance': {'text': '25.6 km', 'value': 25626}, 'duration': {'text': '54 mins', 'value': 3247}, 'status': 'OK'}]}], 'status': 'OK'}",52 mins,54 mins,8.9 km,25.6 km,52,54,"19 Berwyn Rd, Richmond TW10 5BP, UK"
51.46206896551724,-0.2692307692307692,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['60 Palmerston Rd, London SW14, UK'], 'rows': [{'elements': [{'distance': {'text': '8.5 km', 'value': 8469}, 'duration': {'text': '42 mins', 'value': 2540}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['60 Palmerston Rd, London SW14, UK'], 'rows': [{'elements': [{'distance': {'text': '21.8 km', 'value': 21835}, 'duration': {'text': '1 hour 1 min', 'value': 3668}, 'status': 'OK'}]}], 'status': 'OK'}",42 mins,1 hour 1 min,8.5 km,21.8 km,42,61,"60 Palmerston Rd, London SW14, UK"
51.46206896551724,-0.25897435897435894,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['5 Sunbury Ave, London SW14 8RA, UK'], 'rows': [{'elements': [{'distance': {'text': '7.7 km', 'value': 7675}, 'duration': {'text': '40 mins', 'value': 2396}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['5 Sunbury Ave, London SW14 8RA, UK'], 'rows': [{'elements': [{'distance': {'text': '22.1 km', 'value': 22085}, 'duration': {'text': '1 hour 5 mins', 'value': 3875}, 'status': 'OK'}]}], 'status': 'OK'}",40 mins,1 hour 5 mins,7.7 km,22.1 km,40,65,"5 Sunbury Ave, London SW14 8RA, UK"
51.46206896551724,-0.24871794871794872,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['3 Priory Ln, London SW15, UK'], 'rows': [{'elements': [{'distance': {'text': '6.9 km', 'value': 6871}, 'duration': {'text': '48 mins', 'value': 2882}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['3 Priory Ln, London SW15, UK'], 'rows': [{'elements': [{'distance': {'text': '20.2 km', 'value': 20165}, 'duration': {'text': '1 hour 0 mins', 'value': 3596}, 'status': 'OK'}]}], 'status': 'OK'}",48 mins,1 hour 0 mins,6.9 km,20.2 km,48,60,"3 Priory Ln, London SW15, UK"
51.46206896551724,-0.23846153846153845,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['78 Dover House Rd, London SW15 5AT, UK'], 'rows': [{'elements': [{'distance': {'text': '7.0 km', 'value': 6958}, 'duration': {'text': '49 mins', 'value': 2953}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['78 Dover House Rd, London SW15 5AT, UK'], 'rows': [{'elements': [{'distance': {'text': '20.2 km', 'value': 20229}, 'duration': {'text': '1 hour 1 min', 'value': 3642}, 'status': 'OK'}]}], 'status': 'OK'}",49 mins,1 hour 1 min,7.0 km,20.2 km,49,61,"78 Dover House Rd, London SW15 5AT, UK"
51.46206896551724,-0.2282051282051282,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['13 Dealtry Rd, London SW15 6NL, UK'], 'rows': [{'elements': [{'distance': {'text': '7.5 km', 'value': 7541}, 'duration': {'text': '1 hour 3 mins', 'value': 3760}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['13 Dealtry Rd, London SW15 6NL, UK'], 'rows': [{'elements': [{'distance': {'text': '18.4 km', 'value': 18352}, 'duration': {'text': '53 mins', 'value': 3179}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 3 mins,53 mins,7.5 km,18.4 km,63,53,"13 Dealtry Rd, London SW15 6NL, UK"
51.46206896551724,-0.21794871794871795,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['28C Norroy Rd, London SW15 1PF, UK'], 'rows': [{'elements': [{'distance': {'text': '6.5 km', 'value': 6503}, 'duration': {'text': '51 mins', 'value': 3059}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['28C Norroy Rd, London SW15 1PF, UK'], 'rows': [{'elements': [{'distance': {'text': '17.5 km', 'value': 17503}, 'duration': {'text': '43 mins', 'value': 2569}, 'status': 'OK'}]}], 'status': 'OK'}",51 mins,43 mins,6.5 km,17.5 km,51,43,"28C Norroy Rd, London SW15 1PF, UK"
51.46206896551724,-0.20769230769230768,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['205 Putney Bridge Rd, London SW15 2NY, UK'], 'rows': [{'elements': [{'distance': {'text': '6.4 km', 'value': 6438}, 'duration': {'text': '42 mins', 'value': 2516}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['205 Putney Bridge Rd, London SW15 2NY, UK'], 'rows': [{'elements': [{'distance': {'text': '18.7 km', 'value': 18748}, 'duration': {'text': '54 mins', 'value': 3219}, 'status': 'OK'}]}], 'status': 'OK'}",42 mins,54 mins,6.4 km,18.7 km,42,54,"205 Putney Bridge Rd, London SW15 2NY, UK"
51.46206896551724,-0.19743589743589743,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['3 Eastfields Ave, London SW18 1GN, UK'], 'rows': [{'elements': [{'distance': {'text': '7.3 km', 'value': 7286}, 'duration': {'text': '53 mins', 'value': 3155}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['3 Eastfields Ave, London SW18 1GN, UK'], 'rows': [{'elements': [{'distance': {'text': '16.3 km', 'value': 16337}, 'duration': {'text': '55 mins', 'value': 3321}, 'status': 'OK'}]}], 'status': 'OK'}",53 mins,55 mins,7.3 km,16.3 km,53,55,"3 Eastfields Ave, London SW18 1GN, UK"
51.46206896551724,-0.18717948717948718,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['11 Swandon Way, London SW18 1AZ, UK'], 'rows': [{'elements': [{'distance': {'text': '10.1 km', 'value': 10096}, 'duration': {'text': '1 hour 5 mins', 'value': 3874}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['11 Swandon Way, London SW18 1AZ, UK'], 'rows': [{'elements': [{'distance': {'text': '15.6 km', 'value': 15608}, 'duration': {'text': '45 mins', 'value': 2724}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 5 mins,45 mins,10.1 km,15.6 km,65,45,"11 Swandon Way, London SW18 1AZ, UK"
51.46206896551724,-0.1769230769230769,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['30 Cologne Rd, London SW11, UK'], 'rows': [{'elements': [{'distance': {'text': '9.2 km', 'value': 9234}, 'duration': {'text': '39 mins', 'value': 2365}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['30 Cologne Rd, London SW11, UK'], 'rows': [{'elements': [{'distance': {'text': '15.4 km', 'value': 15378}, 'duration': {'text': '44 mins', 'value': 2647}, 'status': 'OK'}]}], 'status': 'OK'}",39 mins,44 mins,9.2 km,15.4 km,39,44,"30 Cologne Rd, London SW11, UK"
51.46206896551724,-0.16666666666666666,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['10B Barnard Rd, London SW11 1QS, UK'], 'rows': [{'elements': [{'distance': {'text': '9.0 km', 'value': 9030}, 'duration': {'text': '37 mins', 'value': 2228}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['10B Barnard Rd, London SW11 1QS, UK'], 'rows': [{'elements': [{'distance': {'text': '15.2 km', 'value': 15174}, 'duration': {'text': '42 mins', 'value': 2510}, 'status': 'OK'}]}], 'status': 'OK'}",37 mins,42 mins,9.0 km,15.2 km,37,42,"10B Barnard Rd, London SW11 1QS, UK"
51.46206896551724,-0.1564102564102564,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['52 Marney Rd, London SW11 5EP, UK'], 'rows': [{'elements': [{'distance': {'text': '9.9 km', 'value': 9866}, 'duration': {'text': '47 mins', 'value': 2838}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['52 Marney Rd, London SW11 5EP, UK'], 'rows': [{'elements': [{'distance': {'text': '13.6 km', 'value': 13622}, 'duration': {'text': '49 mins', 'value': 2920}, 'status': 'OK'}]}], 'status': 'OK'}",47 mins,49 mins,9.9 km,13.6 km,47,49,"52 Marney Rd, London SW11 5EP, UK"
51.46206896551724,-0.14615384615384613,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['30 Clapham Common North Side, London SW4 0RN, UK'], 'rows': [{'elements': [{'distance': {'text': '15.9 km', 'value': 15937}, 'duration': {'text': '1 hour 9 mins', 'value': 4128}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['30 Clapham Common North Side, London SW4 0RN, UK'], 'rows': [{'elements': [{'distance': {'text': '12.5 km', 'value': 12538}, 'duration': {'text': '36 mins', 'value': 2188}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 9 mins,36 mins,15.9 km,12.5 km,69,36,"30 Clapham Common North Side, London SW4 0RN, UK"
51.46206896551724,-0.1358974358974359,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['133 Clapham High St, London SW4 7SL, UK'], 'rows': [{'elements': [{'distance': {'text': '15.6 km', 'value': 15574}, 'duration': {'text': '1 hour 4 mins', 'value': 3836}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['133 Clapham High St, London SW4 7SL, UK'], 'rows': [{'elements': [{'distance': {'text': '12.2 km', 'value': 12175}, 'duration': {'text': '43 mins', 'value': 2603}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 4 mins,43 mins,15.6 km,12.2 km,64,43,"133 Clapham High St, London SW4 7SL, UK"
51.46206896551724,-0.12564102564102564,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['90 Solon Rd, Brixton, London SW2 5UY, UK'], 'rows': [{'elements': [{'distance': {'text': '15.3 km', 'value': 15257}, 'duration': {'text': '1 hour 7 mins', 'value': 3998}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['90 Solon Rd, Brixton, London SW2 5UY, UK'], 'rows': [{'elements': [{'distance': {'text': '11.9 km', 'value': 11859}, 'duration': {'text': '40 mins', 'value': 2407}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 7 mins,40 mins,15.3 km,11.9 km,67,40,"90 Solon Rd, Brixton, London SW2 5UY, UK"
51.46206896551724,-0.11538461538461536,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['486 Brixton Rd, Brixton, London SW9, UK'], 'rows': [{'elements': [{'distance': {'text': '14.6 km', 'value': 14595}, 'duration': {'text': '40 mins', 'value': 2384}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['486 Brixton Rd, Brixton, London SW9, UK'], 'rows': [{'elements': [{'distance': {'text': '16.5 km', 'value': 16499}, 'duration': {'text': '28 mins', 'value': 1690}, 'status': 'OK'}]}], 'status': 'OK'}",40 mins,28 mins,14.6 km,16.5 km,40,28,"486 Brixton Rd, Brixton, London SW9, UK"
51.46206896551724,-0.10512820512820512,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['19 Moorland Rd, Brixton, London SW9 8UA, UK'], 'rows': [{'elements': [{'distance': {'text': '15.4 km', 'value': 15436}, 'duration': {'text': '52 mins', 'value': 3143}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['19 Moorland Rd, Brixton, London SW9 8UA, UK'], 'rows': [{'elements': [{'distance': {'text': '17.3 km', 'value': 17340}, 'duration': {'text': '46 mins', 'value': 2765}, 'status': 'OK'}]}], 'status': 'OK'}",52 mins,46 mins,15.4 km,17.3 km,52,46,"19 Moorland Rd, Brixton, London SW9 8UA, UK"
51.46206896551724,-0.09487179487179487,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['52 Ferndene Rd, Brixton, London SE24 0AB, UK'], 'rows': [{'elements': [{'distance': {'text': '16.7 km', 'value': 16724}, 'duration': {'text': '53 mins', 'value': 3154}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['52 Ferndene Rd, Brixton, London SE24 0AB, UK'], 'rows': [{'elements': [{'distance': {'text': '9.1 km', 'value': 9137}, 'duration': {'text': '35 mins', 'value': 2107}, 'status': 'OK'}]}], 'status': 'OK'}",53 mins,35 mins,16.7 km,9.1 km,53,35,"52 Ferndene Rd, Brixton, London SE24 0AB, UK"
51.46206896551724,-0.08461538461538459,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['80 Dog Kennel Hill, London SE22 8BB, UK'], 'rows': [{'elements': [{'distance': {'text': '19.7 km', 'value': 19656}, 'duration': {'text': '59 mins', 'value': 3569}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['80 Dog Kennel Hill, London SE22 8BB, UK'], 'rows': [{'elements': [{'distance': {'text': '13.3 km', 'value': 13347}, 'duration': {'text': '40 mins', 'value': 2394}, 'status': 'OK'}]}], 'status': 'OK'}",59 mins,40 mins,19.7 km,13.3 km,59,40,"80 Dog Kennel Hill, London SE22 8BB, UK"
51.46206896551724,-0.07435897435897434,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['2/92 E Dulwich Rd, London SE22 9AT, UK'], 'rows': [{'elements': [{'distance': {'text': '19.7 km', 'value': 19718}, 'duration': {'text': '1 hour 1 min', 'value': 3638}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['2/92 E Dulwich Rd, London SE22 9AT, UK'], 'rows': [{'elements': [{'distance': {'text': '13.4 km', 'value': 13409}, 'duration': {'text': '41 mins', 'value': 2463}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 1 min,41 mins,19.7 km,13.4 km,61,41,"2/92 E Dulwich Rd, London SE22 9AT, UK"
51.46206896551724,-0.0641025641025641,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['131 Peckham Rye, London SE15 3UL, UK'], 'rows': [{'elements': [{'distance': {'text': '19.0 km', 'value': 18955}, 'duration': {'text': '1 hour 4 mins', 'value': 3860}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['131 Peckham Rye, London SE15 3UL, UK'], 'rows': [{'elements': [{'distance': {'text': '7.8 km', 'value': 7755}, 'duration': {'text': '34 mins', 'value': 2049}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 4 mins,34 mins,19.0 km,7.8 km,64,34,"131 Peckham Rye, London SE15 3UL, UK"
51.46206896551724,-0.05384615384615382,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['Brockley Footpath, London SE15 3BF, UK'], 'rows': [{'elements': [{'distance': {'text': '20.0 km', 'value': 19963}, 'duration': {'text': '1 hour 0 mins', 'value': 3621}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['Brockley Footpath, London SE15 3BF, UK'], 'rows': [{'elements': [{'distance': {'text': '8.2 km', 'value': 8250}, 'duration': {'text': '38 mins', 'value': 2283}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 0 mins,38 mins,20.0 km,8.2 km,60,38,"Brockley Footpath, London SE15 3BF, UK"
51.46206896551724,-0.0435897435897436,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['67 Avignon Rd, London SE4 2JU, UK'], 'rows': [{'elements': [{'distance': {'text': '19.5 km', 'value': 19489}, 'duration': {'text': '58 mins', 'value': 3463}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['67 Avignon Rd, London SE4 2JU, UK'], 'rows': [{'elements': [{'distance': {'text': '7.2 km', 'value': 7178}, 'duration': {'text': '30 mins', 'value': 1804}, 'status': 'OK'}]}], 'status': 'OK'}",58 mins,30 mins,19.5 km,7.2 km,58,30,"67 Avignon Rd, London SE4 2JU, UK"
51.46206896551724,-0.033333333333333326,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['83 Wickham Rd, London SE4 1NH, UK'], 'rows': [{'elements': [{'distance': {'text': '19.4 km', 'value': 19392}, 'duration': {'text': '57 mins', 'value': 3393}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['83 Wickham Rd, London SE4 1NH, UK'], 'rows': [{'elements': [{'distance': {'text': '7.1 km', 'value': 7081}, 'duration': {'text': '29 mins', 'value': 1734}, 'status': 'OK'}]}], 'status': 'OK'}",57 mins,29 mins,19.4 km,7.1 km,57,29,"83 Wickham Rd, London SE4 1NH, UK"
51.46206896551724,-0.02307692307692305,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['19 Cliffview Rd, London SE13 7DB, UK'], 'rows': [{'elements': [{'distance': {'text': '20.2 km', 'value': 20232}, 'duration': {'text': '57 mins', 'value': 3432}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['19 Cliffview Rd, London SE13 7DB, UK'], 'rows': [{'elements': [{'distance': {'text': '7.6 km', 'value': 7589}, 'duration': {'text': '36 mins', 'value': 2135}, 'status': 'OK'}]}], 'status': 'OK'}",57 mins,36 mins,20.2 km,7.6 km,57,36,"19 Cliffview Rd, London SE13 7DB, UK"
51.46206896551724,-0.01282051282051283,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['Molesworth St, London SE13 7HB, UK'], 'rows': [{'elements': [{'distance': {'text': '22.6 km', 'value': 22557}, 'duration': {'text': '1 hour 7 mins', 'value': 4032}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['Molesworth St, London SE13 7HB, UK'], 'rows': [{'elements': [{'distance': {'text': '6.8 km', 'value': 6821}, 'duration': {'text': '27 mins', 'value': 1621}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 7 mins,27 mins,22.6 km,6.8 km,67,27,"Molesworth St, London SE13 7HB, UK"
51.46206896551724,-0.002564102564102555,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['52 Belmont Hill, Blackheath, London SE13 5DN, UK'], 'rows': [{'elements': [{'distance': {'text': '20.1 km', 'value': 20085}, 'duration': {'text': '59 mins', 'value': 3560}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['52 Belmont Hill, Blackheath, London SE13 5DN, UK'], 'rows': [{'elements': [{'distance': {'text': '7.5 km', 'value': 7465}, 'duration': {'text': '34 mins', 'value': 2053}, 'status': 'OK'}]}], 'status': 'OK'}",59 mins,34 mins,20.1 km,7.5 km,59,34,"52 Belmont Hill, Blackheath, London SE13 5DN, UK"
51.46206896551724,0.0076923076923077205,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['139A Lee Park, Blackheath, London SE3 9HE, UK'], 'rows': [{'elements': [{'distance': {'text': '21.1 km', 'value': 21134}, 'duration': {'text': '58 mins', 'value': 3495}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['139A Lee Park, Blackheath, London SE3 9HE, UK'], 'rows': [{'elements': [{'distance': {'text': '7.1 km', 'value': 7054}, 'duration': {'text': '40 mins', 'value': 2372}, 'status': 'OK'}]}], 'status': 'OK'}",58 mins,40 mins,21.1 km,7.1 km,58,40,"139A Lee Park, Blackheath, London SE3 9HE, UK"
51.46206896551724,0.01794871794871794,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['16 Brookway, London SE3 9BJ, UK'], 'rows': [{'elements': [{'distance': {'text': '22.9 km', 'value': 22873}, 'duration': {'text': '1 hour 12 mins', 'value': 4311}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['16 Brookway, London SE3 9BJ, UK'], 'rows': [{'elements': [{'distance': {'text': '15.4 km', 'value': 15398}, 'duration': {'text': '45 mins', 'value': 2729}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 12 mins,45 mins,22.9 km,15.4 km,72,45,"16 Brookway, London SE3 9BJ, UK"
51.46206896551724,0.028205128205128216,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['Henley Cross, London SE3 9PL, UK'], 'rows': [{'elements': [{'distance': {'text': '22.2 km', 'value': 22207}, 'duration': {'text': '57 mins', 'value': 3445}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['Henley Cross, London SE3 9PL, UK'], 'rows': [{'elements': [{'distance': {'text': '9.6 km', 'value': 9587}, 'duration': {'text': '39 mins', 'value': 2348}, 'status': 'OK'}]}], 'status': 'OK'}",57 mins,39 mins,22.2 km,9.6 km,57,39,"Henley Cross, London SE3 9PL, UK"
51.46206896551724,0.03846153846153849,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['51 Briset Rd, London SE9 6HN, UK'], 'rows': [{'elements': [{'distance': {'text': '24.3 km', 'value': 24257}, 'duration': {'text': '1 hour 7 mins', 'value': 4032}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['51 Briset Rd, London SE9 6HN, UK'], 'rows': [{'elements': [{'distance': {'text': '7.4 km', 'value': 7374}, 'duration': {'text': '39 mins', 'value': 2311}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 7 mins,39 mins,24.3 km,7.4 km,67,39,"51 Briset Rd, London SE9 6HN, UK"
51.46206896551724,0.04871794871794871,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['27 Downman Rd, London SE9 6RD, UK'], 'rows': [{'elements': [{'distance': {'text': '25.1 km', 'value': 25125}, 'duration': {'text': '1 hour 19 mins', 'value': 4724}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['27 Downman Rd, London SE9 6RD, UK'], 'rows': [{'elements': [{'distance': {'text': '8.2 km', 'value': 8242}, 'duration': {'text': '44 mins', 'value': 2613}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 19 mins,44 mins,25.1 km,8.2 km,79,44,"27 Downman Rd, London SE9 6RD, UK"
51.46206896551724,0.05897435897435899,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['25 Dairsie Rd, London SE9 1XN, UK'], 'rows': [{'elements': [{'distance': {'text': '25.4 km', 'value': 25419}, 'duration': {'text': '1 hour 17 mins', 'value': 4606}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['25 Dairsie Rd, London SE9 1XN, UK'], 'rows': [{'elements': [{'distance': {'text': '9.0 km', 'value': 9029}, 'duration': {'text': '47 mins', 'value': 2838}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 17 mins,47 mins,25.4 km,9.0 km,77,47,"25 Dairsie Rd, London SE9 1XN, UK"
